Version Number,File Name,NumberRevisions,NumberAuthors,LOC,AGE,CHURN,LOC_TOUCHED,Avg_LOC_Added,MaxLocAdded,Avg_Chg_Set,Max_Chg_Set,numImports,numComments,Buggy
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/state/HBaseUpdater.java,1,1,32,6,32,32,32,32,35,35,4,17,No
04,external/storm-hbase/src/test/java/org/apache/storm/hbase/topology/LookupWordCount.java,1,1,79,6,79,79,79,79,35,35,10,18,No
04,external/storm-hbase/src/test/java/org/apache/storm/hbase/topology/PersistentWordCount.java,1,1,81,6,81,81,81,81,35,35,9,18,No
04,external/storm-hbase/src/test/java/org/apache/storm/hbase/topology/TotalWordCounter.java,1,1,70,6,70,70,70,70,35,35,12,22,No
04,external/storm-hbase/src/test/java/org/apache/storm/hbase/topology/WordCountClient.java,1,1,57,6,57,57,57,57,35,35,6,22,No
04,external/storm-hbase/src/test/java/org/apache/storm/hbase/topology/WordCountValueMapper.java,2,2,70,7,71,72,35,70,22,35,22,70,No
04,external/storm-hbase/src/test/java/org/apache/storm/hbase/topology/WordCounter.java,1,1,59,6,59,59,59,59,35,35,8,21,No
04,external/storm-hbase/src/test/java/org/apache/storm/hbase/topology/WordSpout.java,1,1,88,6,88,88,88,88,35,35,9,17,No
04,external/storm-hbase/src/test/java/org/apache/storm/hbase/trident/PrintFunction.java,1,1,40,6,40,40,40,40,35,35,6,17,No
04,external/storm-hbase/src/test/java/org/apache/storm/hbase/trident/WordCountTrident.java,1,1,104,6,104,104,104,104,35,35,21,18,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/AbstractHdfsBolt.java,1,1,139,12,139,139,139,139,60,60,20,24,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/HdfsBolt.java,1,1,131,12,131,131,131,131,60,60,19,18,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/SequenceFileBolt.java,1,1,149,12,149,149,149,149,60,60,17,18,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/DefaultFileNameFormat.java,1,1,86,12,86,86,86,86,60,60,2,42,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/DefaultSequenceFormat.java,1,1,52,12,52,52,52,52,60,60,4,5,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/DelimitedRecordFormat.java,1,1,88,12,88,88,88,88,60,60,2,46,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/FileNameFormat.java,1,1,42,12,42,42,42,42,60,60,3,27,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/RecordFormat.java,1,1,32,12,32,32,32,32,60,60,2,22,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/SequenceFormat.java,1,1,40,12,40,40,40,40,60,60,3,24,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/rotation/FileRotationPolicy.java,1,1,51,12,51,51,51,51,60,60,2,38,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/rotation/FileSizeRotationPolicy.java,1,1,81,12,81,81,81,81,60,60,3,30,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/rotation/NoRotationPolicy.java,1,1,35,12,35,35,35,35,60,60,1,21,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/rotation/TimedRotationPolicy.java,1,1,55,4,55,55,55,55,60,60,1,14,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/sync/CountSyncPolicy.java,1,1,46,12,46,46,46,46,60,60,1,22,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/sync/SyncPolicy.java,1,1,46,12,46,46,46,46,60,60,2,33,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/rotation/MoveFileAction.java,1,1,27,12,27,27,27,27,60,60,5,0,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/rotation/RotationAction.java,1,1,12,12,12,12,12,12,60,60,4,0,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/security/HdfsSecurityUtil.java,1,1,48,12,48,48,48,48,60,60,5,21,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/HdfsState.java,1,1,317,12,317,317,317,317,60,60,25,1,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/HdfsStateFactory.java,1,1,29,12,29,29,29,29,60,60,6,0,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/HdfsUpdater.java,1,1,14,12,14,14,14,14,60,60,4,0,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/format/DefaultFileNameFormat.java,1,1,83,12,83,83,83,83,60,60,1,42,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/format/DefaultSequenceFormat.java,1,1,54,12,54,54,54,54,60,60,4,5,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/format/DelimitedRecordFormat.java,1,1,83,12,83,83,83,83,60,60,2,42,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/format/FileNameFormat.java,1,1,40,12,40,40,40,40,60,60,2,27,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/format/RecordFormat.java,1,1,32,12,32,32,32,32,60,60,2,22,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/format/SequenceFormat.java,1,1,40,12,40,40,40,40,60,60,3,24,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/rotation/FileRotationPolicy.java,1,1,50,12,50,50,50,50,60,60,2,38,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/rotation/FileSizeRotationPolicy.java,1,1,81,12,81,81,81,81,60,60,3,30,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/rotation/NoRotationPolicy.java,1,1,35,12,35,35,35,35,60,60,1,21,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/rotation/TimedRotationPolicy.java,1,1,54,4,54,54,54,54,60,60,1,14,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/sync/CountSyncPolicy.java,1,1,46,12,46,46,46,46,60,60,1,22,No
04,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/sync/SyncPolicy.java,1,1,46,12,46,46,46,46,60,60,2,33,No
04,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/bolt/HdfsFileTopology.java,1,1,198,12,198,198,198,198,60,60,31,24,No
04,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/bolt/SequenceFileTopology.java,1,1,193,12,193,193,193,193,60,60,25,26,No
04,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/trident/FixedBatchSpout.java,1,1,80,12,80,80,80,80,60,60,9,0,No
04,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/trident/TridentFileTopology.java,1,1,73,12,73,73,73,73,60,60,17,2,No
04,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/trident/TridentSequenceTopology.java,1,1,71,12,71,71,71,71,60,60,17,2,No
04,external/storm-kafka/src/jvm/storm/kafka/Broker.java,1,1,86,17,86,86,86,86,132,132,2,18,No
04,external/storm-kafka/src/jvm/storm/kafka/BrokerHosts.java,1,1,25,17,25,25,25,25,132,132,1,17,No
04,external/storm-kafka/src/jvm/storm/kafka/DynamicBrokersReader.java,2,2,149,19,152,152,76,147,96,132,26,68,No
04,external/storm-kafka/src/jvm/storm/kafka/DynamicPartitionConnections.java,1,1,94,17,94,94,94,94,132,132,8,17,No
04,external/storm-kafka/src/jvm/storm/kafka/FailedFetchException.java,1,1,29,17,29,29,29,29,132,132,0,17,No
04,external/storm-kafka/src/jvm/storm/kafka/KafkaConfig.java,5,5,52,17,52,56,10,52,30,132,15,95,No
04,external/storm-kafka/src/jvm/storm/kafka/KafkaError.java,1,1,43,17,43,43,43,43,132,132,0,17,No
04,external/storm-kafka/src/jvm/storm/kafka/KafkaSpout.java,1,1,195,17,195,195,195,195,132,132,11,22,No
04,external/storm-kafka/src/jvm/storm/kafka/KafkaUtils.java,8,6,243,32,322,407,40,243,33,132,192,144,No
04,external/storm-kafka/src/jvm/storm/kafka/KeyValueScheme.java,1,1,28,17,28,28,28,28,132,132,2,17,No
04,external/storm-kafka/src/jvm/storm/kafka/KeyValueSchemeAsMultiScheme.java,1,1,37,17,37,37,37,37,132,132,3,17,No
04,external/storm-kafka/src/jvm/storm/kafka/Partition.java,1,1,69,17,69,69,69,69,132,132,2,18,No
04,external/storm-kafka/src/jvm/storm/kafka/PartitionCoordinator.java,1,1,28,17,28,28,28,28,132,132,1,17,No
04,external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java,9,6,270,32,271,316,30,265,29,132,160,211,No
04,external/storm-kafka/src/jvm/storm/kafka/SpoutConfig.java,1,1,36,17,36,36,36,36,132,132,2,17,No
04,external/storm-kafka/src/jvm/storm/kafka/StaticCoordinator.java,1,1,51,17,51,51,51,51,132,132,4,17,No
04,external/storm-kafka/src/jvm/storm/kafka/StaticHosts.java,1,1,38,17,38,38,38,38,132,132,1,21,No
04,external/storm-kafka/src/jvm/storm/kafka/StaticPartitionConnections.java,1,1,52,17,52,52,52,52,132,132,3,17,No
04,external/storm-kafka/src/jvm/storm/kafka/StringKeyValueScheme.java,1,1,37,17,37,37,37,37,132,132,3,17,No
04,external/storm-kafka/src/jvm/storm/kafka/StringScheme.java,1,1,46,17,46,46,46,46,132,132,5,17,No
04,external/storm-kafka/src/jvm/storm/kafka/UpdateOffsetException.java,6,4,6,8,30,40,5,10,20,99,0,0,No
04,external/storm-kafka/src/jvm/storm/kafka/ZkCoordinator.java,1,1,113,17,113,113,113,113,132,132,5,19,No
04,external/storm-kafka/src/jvm/storm/kafka/ZkHosts.java,1,1,36,17,36,36,36,36,132,132,0,18,No
04,external/storm-kafka/src/jvm/storm/kafka/ZkState.java,1,1,116,17,116,116,116,116,132,132,13,17,No
04,external/storm-kafka/src/jvm/storm/kafka/bolt/KafkaBolt.java,2,2,102,19,99,131,51,89,96,132,28,54,No
04,external/storm-kafka/src/jvm/storm/kafka/bolt/mapper/FieldNameBasedTupleToKafkaMapper.java,1,1,48,5,48,48,48,48,60,60,1,18,No
04,external/storm-kafka/src/jvm/storm/kafka/bolt/mapper/TupleToKafkaMapper.java,1,1,32,5,32,32,32,32,60,60,2,22,No
04,external/storm-kafka/src/jvm/storm/kafka/bolt/selector/DefaultTopicSelector.java,1,1,34,5,34,34,34,34,60,60,1,17,No
04,external/storm-kafka/src/jvm/storm/kafka/bolt/selector/KafkaTopicSelector.java,1,1,26,5,26,26,26,26,60,60,2,17,No
04,external/storm-kafka/src/jvm/storm/kafka/trident/Coordinator.java,1,1,50,17,50,50,50,50,132,132,4,17,No
04,external/storm-kafka/src/jvm/storm/kafka/trident/DefaultCoordinator.java,1,1,31,17,31,31,31,31,132,132,0,17,No
04,external/storm-kafka/src/jvm/storm/kafka/trident/GlobalPartitionInformation.java,1,1,98,17,98,98,98,98,132,132,5,18,No
