Dataset,# Training,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,NB,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,RF,No sampling,True,1.0,1.0,0.0,0.0,0.9767441860465116,1.0,0.7619047619047619,0.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,IBk,No sampling,True,1.0,1.0,0.0,0.0,0.9767441860465116,1.0,0.7619047619047619,0.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,NB,No sampling,True,1.0,1.0,0.0,0.0,0.9767441860465116,1.0,0.7619047619047619,0.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,RF,Under sampling,True,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,IBk,Under sampling,True,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,NB,Under sampling,True,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,RF,Over sampling,True,0.5238095238095238,0.0,1.0,0.47619047619047616,1.0,0.5238095238095238,0.7619047619047619,0.04867256637168132
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,IBk,Over sampling,True,0.5238095238095238,0.0,1.0,0.47619047619047616,1.0,0.5238095238095238,0.7619047619047619,0.04867256637168132
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,NB,Over sampling,True,0.5,0.0,1.0,0.5,1.0,0.5,0.7619047619047619,0.04444444444444448
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,RF,Smote,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,IBk,Smote,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,NB,Smote,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0
STORM,3,NaiveBayes,NaN,0.0,0.6363168724279835,0.0
STORM,3,RandomForest,NaN,0.0,0.6074368018812464,0.0
STORM,3,IBk,NaN,0.0,0.5574498660918414,0.0
STORM,3,0.1968503937007874,0.02666666666666667,0.17647058823529413,RF,No sampling,False,1.0,1.0,0.0,0.0,0.8235294117647058,1.0,0.5931804820693709,0.0
STORM,3,0.1968503937007874,0.02666666666666667,0.17647058823529413,IBk,No sampling,False,1.0,1.0,0.0,0.0,0.8235294117647058,1.0,0.5,0.0
STORM,3,0.1968503937007874,0.02666666666666667,0.17647058823529413,NB,No sampling,False,1.0,1.0,0.0,0.0,0.8235294117647058,1.0,0.49603174603174605,0.0
STORM,3,0.1968503937007874,0.02666666666666667,0.17647058823529413,RF,Under sampling,False,0.7142857142857143,0.5740740740740741,0.42592592592592593,0.2857142857142857,0.8530805687203792,0.7142857142857143,0.7530129335684891,0.1079979623025979
STORM,3,0.1968503937007874,0.02666666666666667,0.17647058823529413,IBk,Under sampling,False,0.8095238095238095,0.5555555555555556,0.4444444444444444,0.19047619047619047,0.8717948717948718,0.8095238095238095,0.626984126984127,0.22456140350877207
STORM,3,0.1968503937007874,0.02666666666666667,0.17647058823529413,NB,Under sampling,False,0.503968253968254,0.5185185185185185,0.48148148148148145,0.49603174603174605,0.8193548387096774,0.503968253968254,0.5202454438565549,-0.008530438154323337
STORM,3,0.1968503937007874,0.02666666666666667,0.17647058823529413,RF,Over sampling,False,1.0,1.0,0.0,0.0,0.8235294117647058,1.0,0.6168797766019988,0.0
STORM,3,0.1968503937007874,0.02666666666666667,0.17647058823529413,IBk,Over sampling,False,1.0,1.0,0.0,0.0,0.8235294117647058,1.0,0.7092151675485009,0.0
STORM,3,0.1968503937007874,0.02666666666666667,0.17647058823529413,NB,Over sampling,False,0.996031746031746,1.0,0.0,0.003968253968253968,0.8229508196721311,0.996031746031746,0.49404761904761907,-0.006458557588805474
